epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1157.71,0.74654,1.89225,1.304,0.89323,0.87814,0.94069,0.69565,0.98214,0.9678,1.65519,0.000332071,0.000332071,0.000332071
2,1324.5,0.74606,1.01667,1.26977,0.80427,0.88681,0.92226,0.73159,0.76007,0.85447,1.44926,0.000648935,0.000648935,0.000648935
3,1492.94,0.75509,0.8345,1.2742,0.90115,0.93365,0.94634,0.75519,0.77724,0.70091,1.43242,0.0009493,0.0009493,0.0009493
4,1658.76,0.73679,0.72752,1.25682,0.94024,0.90366,0.96235,0.74393,0.88398,0.64182,1.52748,0.00092575,0.00092575,0.00092575
5,1828.1,0.7047,0.65061,1.2393,0.8345,0.92752,0.94262,0.77917,0.71835,0.64987,1.39187,0.000901,0.000901,0.000901
6,1994.84,0.6958,0.5938,1.22955,0.91825,0.91168,0.96349,0.78367,0.78216,0.61324,1.40713,0.00087625,0.00087625,0.00087625
7,2161.75,0.68359,0.5532,1.21862,0.93004,0.96072,0.96344,0.79725,0.71158,0.53441,1.31392,0.0008515,0.0008515,0.0008515
8,2329.12,0.66527,0.52223,1.20636,0.96108,0.96099,0.97371,0.82285,0.68373,0.4203,1.30316,0.00082675,0.00082675,0.00082675
9,2491.54,0.65695,0.50531,1.19853,0.97346,0.97024,0.97601,0.793,0.77459,0.45025,1.39138,0.000802,0.000802,0.000802
10,2655.7,0.64397,0.4806,1.18997,0.96212,0.96506,0.97614,0.83352,0.65557,0.39277,1.25706,0.00077725,0.00077725,0.00077725
11,2817.96,0.65269,0.47502,1.20092,0.94853,0.96706,0.97497,0.83386,0.67294,0.41535,1.27968,0.0007525,0.0007525,0.0007525
12,2980.08,0.64097,0.45974,1.18446,0.96869,0.96401,0.97297,0.8262,0.66489,0.38751,1.28837,0.00072775,0.00072775,0.00072775
13,3142.91,0.6346,0.44641,1.18239,0.97297,0.97023,0.97989,0.8377,0.65513,0.38112,1.26963,0.000703,0.000703,0.000703
14,3306.94,0.63708,0.44697,1.18015,0.97391,0.97589,0.97837,0.83491,0.63582,0.34528,1.24377,0.00067825,0.00067825,0.00067825
15,3467.93,0.60508,0.42287,1.16276,0.97022,0.96469,0.97411,0.83969,0.64255,0.37813,1.22561,0.0006535,0.0006535,0.0006535
16,3628.5,0.60999,0.41442,1.16747,0.97627,0.97159,0.97797,0.84458,0.64299,0.36254,1.23099,0.00062875,0.00062875,0.00062875
17,3789.42,0.61035,0.41494,1.15954,0.97574,0.97692,0.98401,0.85014,0.63756,0.33654,1.24272,0.000604,0.000604,0.000604
18,3952.56,0.60301,0.40301,1.155,0.97244,0.9681,0.97872,0.84331,0.64876,0.36389,1.23994,0.00057925,0.00057925,0.00057925
19,4114.37,0.60416,0.39591,1.16038,0.97674,0.97046,0.9807,0.84765,0.62475,0.34346,1.22116,0.0005545,0.0005545,0.0005545
20,4273.79,0.60337,0.3989,1.15531,0.97775,0.97159,0.98459,0.85299,0.62444,0.32296,1.21187,0.00052975,0.00052975,0.00052975
21,4435.1,0.58107,0.38166,1.14336,0.97129,0.9771,0.98477,0.85837,0.62183,0.34039,1.20234,0.000505,0.000505,0.000505
22,4595.6,0.58111,0.37482,1.14326,0.97589,0.97706,0.98128,0.857,0.63231,0.33729,1.22411,0.00048025,0.00048025,0.00048025
